Rank,Previous Rank,Company,Location,Industry,Revenue,Profit %,CEO Pay Ratio,Women on Board %,Women in Leadership %,Women in Workforce %,Climate Grade,Sustainability Initiatives
2,3,Brambles Ltd,"Sydney, Australia",Furniture and general manufacturing,"$ 123,791",12%,61:01,36.0,100.0,100.0,A,"1.5°C, SBTi"
3,2,Vestas Wind Systems A/S,"Aarhus, Denmark",Machinery manufacturing,"$ 141,969",19%,70:01,42.0,100.0,100.0,A,"1.5°C, SBTi"
5,,Nordex SE,"Hamburg, Germany",Machinery manufacturing,"$ 160,887",73%,82:01,33.0,100.0,100.0,A,"1.5°C, SBTi"
6,15,Banco do Brasil SA,"Brasília, Brazil",Banks,"$ 1,106,800",17%,9:01,50.0,29.0,0.0,A-,"1.5°C, SBTi"
7,7*,Schneider Electric SE,"Rueil-Malmaison, France",Electrical equipment manufacturing,"$ 102,400",16%,97:01,50.0,72.0,80.0,A-,"1.5°C, SBTi"
8,18,Chr Hansen Holding A/S,"Hørsholm, Denmark",Food and beverage manufacturing,"$ 38,696",14%,34:01,50.0,47.0,71.0,A-,"1.5°C, SBTi"
9,7,Stantec Inc,"Edmonton, Canada","Business, engineering and personal services","$ 118,360",12%,60:01,50.0,59.0,60.0,A-,"1.5°C, SBTi"
10,,SMA Solar Technology AG,"Niestetal, Germany",Semiconductor and electronic components manufacturing,"$ 135,701",22%,15:01,33.0,100.0,100.0,A-,SBTi
11,5,Autodesk Inc,"San Francisco, U.S.",IT services except telecom and hosting,"$ 517,478",19%,,50.0,93.0,0.0,A-,"1.5°C, SBTi"
12,,WSP Global Inc,"Montreal, Canada","Business, engineering and personal services","$ 152,031",16%,109:01,33.0,57.0,92.0,B+,"1.5°C, SBTi"
15,65,Telefonaktiebolaget LM Ericsson,"Stockholm, Sweden",Telephones and telecom equipment manufacturing,"$ 174,040",18%,83:01,29.0,47.0,71.0,B+,"1.5°C, SBTi"
16,35,SunPower Corp,"Richmond, U.S.",Semiconductor and electronic components manufacturing,,0%,,22.0,100.0,100.0,B+,SBTi
17,13,Ørsted A/S,"Fredericia, Denmark",Power generation,"$ 8,192",10%,35:01,50.0,65.0,99.0,B+,"1.5°C, SBTi"
